C.D.S.  -  SIMBAD4 rel 1.7  -  2021.02.27CET23:06:09

M  45
-----

Number of objects : 9580

 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |      |      |      |      |      |               |    |    
2378|  13055.99|     0|2009A&A...498..949M|B              |Cl* Melotte 22 AK IV-33            |PM*|03 48 03.7678154064 +27 44 07.631719501|     ~|     ~|11.5  |     ~|     ~|~              |   2|   0
2379|  16475.16|     0|2009A&A...498..949M|B              |HD 283079                          |*  |03 54 24.1939445399 +28 22 54.137607606|     ~|11.70 |10.86 |     ~|     ~|G0             |   5|   0
2380|   9896.51|    58|2019MNRAS.490.2521H|B              |Cl* Melotte 22 IPMBD 21            |LM*|03 49 16.1725359883 +26 49 03.227337731|     ~|     ~|     ~|     ~|     ~|~              |   7|   0
2381|   9896.51|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 IPMBD 21            |LM*|03 49 16.1725359883 +26 49 03.227337731|     ~|     ~|     ~|     ~|     ~|~              |   7|   0
2382|   9896.51|   100|2019PASP..131d4101G|B              |Cl* Melotte 22 IPMBD 21            |LM*|03 49 16.1725359883 +26 49 03.227337731|     ~|     ~|     ~|     ~|     ~|~              |   7|   0
2383|  13277.83|     0|2010MNRAS.408..475H|B              |TYC 1807-659-1                     |*  |03 45 13.5178647535 +27 46 59.971287988|     ~|11.05 |10.68 |     ~|     ~|~              |   1|   0
2384|  10076.25|    94|2012MNRAS.422.1495L|B              |Cl* Melotte 22 MBSC 29             |*  |03 49 38.2334292717 +26 51 05.893246903|     ~|     ~|     ~|     ~|14.92 |~              |   7|   0
2385|  10076.25|    99|2019PASP..131d4101G|B              |Cl* Melotte 22 MBSC 29             |*  |03 49 38.2334292717 +26 51 05.893246903|     ~|     ~|     ~|     ~|14.92 |~              |   7|   0
2386|  10076.25|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 MBSC 29             |*  |03 49 38.2334292717 +26 51 05.893246903|     ~|     ~|     ~|     ~|14.92 |~              |   7|   0
2387|  10076.25|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 MBSC 29             |*  |03 49 38.2334292717 +26 51 05.893246903|     ~|     ~|     ~|     ~|14.92 |~              |   7|   0
2388|  10076.25|   100|2018A&A...618A..93C|B              |Cl* Melotte 22 MBSC 29             |*  |03 49 38.2334292717 +26 51 05.893246903|     ~|     ~|     ~|     ~|14.92 |~              |   7|   0
2389|   9357.37|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 371              |PM*|03 45 04.2027455103 +26 40 44.911351631|     ~|     ~|     ~|     ~|15.10 |~              |   7|   0
2390|   9357.37|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 371              |PM*|03 45 04.2027455103 +26 40 44.911351631|     ~|     ~|     ~|     ~|15.10 |~              |   7|   0
2391|   9357.37|   100|2018A&A...618A..93C|B              |Cl* Melotte 22 DH 371              |PM*|03 45 04.2027455103 +26 40 44.911351631|     ~|     ~|     ~|     ~|15.10 |~              |   7|   0
2392|   9357.37|   100|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 371              |PM*|03 45 04.2027455103 +26 40 44.911351631|     ~|     ~|     ~|     ~|15.10 |~              |   7|   0
2393|  10035.92|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 MBSC 95             |*  |03 49 28.7950843466 +26 50 51.656937833|     ~|     ~|     ~|     ~|     ~|~              |   3|   0
2394|  16589.88|    85|2012MNRAS.422.1495L|B              |Cl* Melotte 22 DH 374              |*  |03 45 06.2404301229 +28 42 19.400778613|     ~|     ~|     ~|     ~|15.26 |~              |   5|   0
2395|  16589.88|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 374              |*  |03 45 06.2404301229 +28 42 19.400778613|     ~|     ~|     ~|     ~|15.26 |~              |   5|   0
2396|  16589.88|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 374              |*  |03 45 06.2404301229 +28 42 19.400778613|     ~|     ~|     ~|     ~|15.26 |~              |   5|   0
2397|  16589.88|   100|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 374              |*  |03 45 06.2404301229 +28 42 19.400778613|     ~|     ~|     ~|     ~|15.26 |~              |   5|   0
2398|  12129.37|    88|2012MNRAS.422.1495L|B              |Cl* Melotte 22 DH 394              |*  |03 45 28.9060987667 +27 28 06.841563249|     ~|17.398|15.837|     ~|13.371|~              |   5|   0
2399|  12129.37|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 394              |*  |03 45 28.9060987667 +27 28 06.841563249|     ~|17.398|15.837|     ~|13.371|~              |   5|   0
2400|  12129.37|   100|2010MNRAS.408..475H|B              |Cl* Melotte 22 DH 394              |*  |03 45 28.9060987667 +27 28 06.841563249|     ~|17.398|15.837|     ~|13.371|~              |   5|   0
2401|  15941.70|    75|2012MNRAS.422.1495L|B              |Cl* Melotte 22 DH 399              |*  |03 45 40.7582689150 +28 32 06.094046529|     ~|     ~|     ~|     ~|16.06 |~              |   6|   0
2402|  15941.70|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 399              |*  |03 45 40.7582689150 +28 32 06.094046529|     ~|     ~|     ~|     ~|16.06 |~              |   6|   0
2403|  15941.70|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 399              |*  |03 45 40.7582689150 +28 32 06.094046529|     ~|     ~|     ~|     ~|16.06 |~              |   6|   0
2404|  15941.70|   100|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 399              |*  |03 45 40.7582689150 +28 32 06.094046529|     ~|     ~|     ~|     ~|16.06 |~              |   6|   0
2405|  10531.25|    82|2012MNRAS.422.1495L|B              |Cl* Melotte 22 DH 430              |PM*|03 46 13.0000467393 +27 02 12.035759469|     ~|     ~|     ~|     ~|15.98 |~              |   4|   0
2406|  10531.25|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 430              |PM*|03 46 13.0000467393 +27 02 12.035759469|     ~|     ~|     ~|     ~|15.98 |~              |   4|   0
2407|  15130.39|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 533              |*  |03 47 42.8444425592 +28 18 59.413779726|     ~|     ~|     ~|     ~|16.22 |~              |   4|   0
2408|  16393.91|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 575              |PM*|03 48 23.2334165106 +28 39 35.754212003|     ~|15.965|14.567|     ~|12.603|~              |   3|   0
2409|  10584.00|    92|2012MNRAS.422.1495L|B              |Cl* Melotte 22 DH 652              |*  |03 50 06.4153444245 +26 58 19.020861466|     ~|     ~|     ~|     ~|15.74 |~              |   6|   0
2410|  10584.00|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 652              |*  |03 50 06.4153444245 +26 58 19.020861466|     ~|     ~|     ~|     ~|15.74 |~              |   6|   0
2411|  10584.00|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 652              |*  |03 50 06.4153444245 +26 58 19.020861466|     ~|     ~|     ~|     ~|15.74 |~              |   6|   0
2412|  10584.00|   100|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 652              |*  |03 50 06.4153444245 +26 58 19.020861466|     ~|     ~|     ~|     ~|15.74 |~              |   6|   0
2413|  12305.11|    89|2012MNRAS.422.1495L|B              |Cl* Melotte 22 DH 714              |PM*|03 51 30.5901420240 +27 22 49.759830826|     ~|     ~|     ~|     ~|15.99 |~              |   3|   0
2414|  12305.11|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 714              |PM*|03 51 30.5901420240 +27 22 49.759830826|     ~|     ~|     ~|     ~|15.99 |~              |   3|   0
2415|  14417.44|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 747              |PM*|03 52 15.1751971103 +27 56 37.815106926|     ~|     ~|     ~|     ~|16.40 |~              |   2|   0
2416|  12940.51|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 764              |*  |03 52 43.4610075793 +27 28 21.017361396|     ~|     ~|     ~|     ~|16.15 |~              |   2|   0
2417|   7807.45|     0|2010MNRAS.408..475H|B              |V* UU Tau                          |Mi*|03 47 34.3881365470 +26 16 53.486977388|     ~|     ~|14.2  |     ~|     ~|M:             |   8|   0
2418|   5397.67|     0|2010MNRAS.408..475H|B              |BD+25 604                          |PM*|03 45 07.4242405336 +25 33 15.571522784|     ~|10.51 | 9.99 |     ~|     ~|G0             |   3|   0
2419|   5421.49|     0|2009A&A...498..949M|B              |BD+25 610                          |*  |03 45 45.1241632995 +25 35 44.856428962|     ~|10.58 | 9.99 |     ~|     ~|G0             |  19|   0
2420|   5421.49|    87|2019PASP..131d4101G|B              |BD+25 610                          |*  |03 45 45.1241632995 +25 35 44.856428962|     ~|10.58 | 9.99 |     ~|     ~|G0             |  19|   0
2421|   5421.49|   100|2017A&A...601A..19G|B              |BD+25 610                          |*  |03 45 45.1241632995 +25 35 44.856428962|     ~|10.58 | 9.99 |     ~|     ~|G0             |  19|   0
2422|   6227.36|    76|2019PASP..131d4101G|B              |HD 23488                           |PM*|03 46 34.8299511680 +25 50 37.949620924|     ~| 9.03 | 8.72 |     ~|     ~|A0             |  24|   0
2423|   5080.99|    75|2009A&A...498..949M|S              |HD 23598                           |*  |03 47 20.8795116414 +25 31 33.029082732|     ~|10.365| 9.826| 9.38 | 9.153|F8             |  28|   0
2424|   5080.99|    90|2019MNRAS.490.2521H|B              |HD 23598                           |*  |03 47 20.8795116414 +25 31 33.029082732|     ~|10.365| 9.826| 9.38 | 9.153|F8             |  28|   0
2425|   5080.99|   100|2007ApJS..172..663S|B              |HD 23598                           |*  |03 47 20.8795116414 +25 31 33.029082732|     ~|10.365| 9.826| 9.38 | 9.153|F8             |  28|   0
2426|   5080.99|   100|2017A&A...601A..19G|B              |HD 23598                           |*  |03 47 20.8795116414 +25 31 33.029082732|     ~|10.365| 9.826| 9.38 | 9.153|F8             |  28|   0
2427|   5080.99|   100|2018A&A...616A..10G|B              |HD 23598                           |*  |03 47 20.8795116414 +25 31 33.029082732|     ~|10.365| 9.826| 9.38 | 9.153|F8             |  28|   0
2428|   5080.99|   100|2018A&A...618A..93C|B              |HD 23598                           |*  |03 47 20.8795116414 +25 31 33.029082732|     ~|10.365| 9.826| 9.38 | 9.153|F8             |  28|   0
2429|   5080.99|   100|2019PASP..131d4101G|B              |HD 23598                           |*  |03 47 20.8795116414 +25 31 33.029082732|     ~|10.365| 9.826| 9.38 | 9.153|F8             |  28|   0
2430|   3005.46|   100|2007ApJS..172..663S|B              |* 18 Tau                           |PM*|03 45 09.7395444345 +24 50 21.349504233| 5.21 | 5.57 | 5.64 | 5.61 | 5.68 |B8V            | 260|   0
2431|   3005.46|   100|2017AJ....154..224R|B              |* 18 Tau                           |PM*|03 45 09.7395444345 +24 50 21.349504233| 5.21 | 5.57 | 5.64 | 5.61 | 5.68 |B8V            | 260|   0
2432|   3005.46|   100|2018A&A...616A..10G|B              |* 18 Tau                           |PM*|03 45 09.7395444345 +24 50 21.349504233| 5.21 | 5.57 | 5.64 | 5.61 | 5.68 |B8V            | 260|   0
2433|   3005.46|   100|2018A&A...618A..93C|B              |* 18 Tau                           |PM*|03 45 09.7395444345 +24 50 21.349504233| 5.21 | 5.57 | 5.64 | 5.61 | 5.68 |B8V            | 260|   0
2434|   3005.46|   100|2019PASP..131d4101G|B              |* 18 Tau                           |PM*|03 45 09.7395444345 +24 50 21.349504233| 5.21 | 5.57 | 5.64 | 5.61 | 5.68 |B8V            | 260|   0
2435|   1937.38|   100|2007ApJS..172..663S|B              |* q Tau                            |*  |03 45 12.4957802 +24 28 02.209730      | 3.73 | 4.19 | 4.30 | 4.30 | 4.40 |B6IV           | 262|   0
2436|   3063.12|   100|2001A&A...373..159C|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2437|   3063.12|   100|2007ApJS..172..663S|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2438|   3063.12|   100|2009A&A...498..949M|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2439|   3063.12|   100|2010MNRAS.408..475H|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2440|   3063.12|   100|2016A&A...596A.113B|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2441|   3063.12|   100|2017A&A...601A..19G|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2442|   3063.12|   100|2017AJ....154..224R|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2443|   3063.12|   100|2018A&A...616A..10G|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2444|   3063.12|   100|2018A&A...618A..93C|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2445|   3063.12|   100|2019PASP..131d4101G|B              |HD 23352                           |*  |03 45 24.1270145927 +24 53 09.533461575|     ~|10.3  | 9.8  |     ~| 9.05 |F5V            |  65|   0
2446|   1710.25|    83|2019MNRAS.490.2521H|B              |HD 23375                           |dS*|03 45 34.4631972129 +24 27 47.919484122|     ~| 8.94 | 8.58 |     ~| 8.33 |F0V            |  78|   0
2447|   1710.25|   100|2007ApJS..172..663S|B              |HD 23375                           |dS*|03 45 34.4631972129 +24 27 47.919484122|     ~| 8.94 | 8.58 |     ~| 8.33 |F0V            |  78|   0
2448|   1710.25|   100|2017AJ....154..224R|B              |HD 23375                           |dS*|03 45 34.4631972129 +24 27 47.919484122|     ~| 8.94 | 8.58 |     ~| 8.33 |F0V            |  78|   0
2449|   1710.25|   100|2018A&A...616A..10G|B              |HD 23375                           |dS*|03 45 34.4631972129 +24 27 47.919484122|     ~| 8.94 | 8.58 |     ~| 8.33 |F0V            |  78|   0
2450|   1710.25|   100|2018A&A...618A..93C|B              |HD 23375                           |dS*|03 45 34.4631972129 +24 27 47.919484122|     ~| 8.94 | 8.58 |     ~| 8.33 |F0V            |  78|   0
2451|   1710.25|   100|2019PASP..131d4101G|B              |HD 23375                           |dS*|03 45 34.4631972129 +24 27 47.919484122|     ~| 8.94 | 8.58 |     ~| 8.33 |F0V            |  78|   0
2452|   3033.91|    78|2019PASP..131d4101G|B              |V* V969 Tau                        |BY*|03 45 42.1185203606 +24 54 21.622880032|     ~|10.18 | 9.56 |     ~| 8.82 |G0V            | 118|   1
2453|   3033.91|    99|2017AJ....154..224R|B              |V* V969 Tau                        |BY*|03 45 42.1185203606 +24 54 21.622880032|     ~|10.18 | 9.56 |     ~| 8.82 |G0V            | 118|   1
2454|   3033.91|   100|2001A&A...373..159C|B              |V* V969 Tau                        |BY*|03 45 42.1185203606 +24 54 21.622880032|     ~|10.18 | 9.56 |     ~| 8.82 |G0V            | 118|   1
2455|   3033.91|   100|2007ApJS..172..663S|B              |V* V969 Tau                        |BY*|03 45 42.1185203606 +24 54 21.622880032|     ~|10.18 | 9.56 |     ~| 8.82 |G0V            | 118|   1
2456|   3033.91|   100|2009A&A...498..949M|B              |V* V969 Tau                        |BY*|03 45 42.1185203606 +24 54 21.622880032|     ~|10.18 | 9.56 |     ~| 8.82 |G0V            | 118|   1
2457|   3546.89|    95|2016A&A...596A.113B|B              |Cl Melotte 22 740                  |Er*|03 45 42.4519408908 +25 03 25.502394163|     ~|14.51 |13.43 |     ~|12.11 |M:             |  25|   0
2458|   3546.89|    95|2017AJ....154..224R|B              |Cl Melotte 22 740                  |Er*|03 45 42.4519408908 +25 03 25.502394163|     ~|14.51 |13.43 |     ~|12.11 |M:             |  25|   0
2459|   3546.89|   100|2007ApJS..172..663S|B              |Cl Melotte 22 740                  |Er*|03 45 42.4519408908 +25 03 25.502394163|     ~|14.51 |13.43 |     ~|12.11 |M:             |  25|   0
2460|   3546.89|   100|2013AJ....146..133M|B              |Cl Melotte 22 740                  |Er*|03 45 42.4519408908 +25 03 25.502394163|     ~|14.51 |13.43 |     ~|12.11 |M:             |  25|   0
2461|   1557.72|   100|2007ApJS..172..663S|B              |BD+23 514                          |Y*O|03 45 41.8551897178 +24 25 53.456111559|     ~|12.08 |11.36 |11.15 |10.42 |G5             |  49|   0
2462|   1557.72|   100|2009A&A...498..949M|B              |BD+23 514                          |Y*O|03 45 41.8551897178 +24 25 53.456111559|     ~|12.08 |11.36 |11.15 |10.42 |G5             |  49|   0
2463|   1557.72|   100|2016A&A...596A.113B|B              |BD+23 514                          |Y*O|03 45 41.8551897178 +24 25 53.456111559|     ~|12.08 |11.36 |11.15 |10.42 |G5             |  49|   0
2464|   1557.72|   100|2018A&A...616A..10G|B              |BD+23 514                          |Y*O|03 45 41.8551897178 +24 25 53.456111559|     ~|12.08 |11.36 |11.15 |10.42 |G5             |  49|   0
2465|   1557.72|   100|2018A&A...618A..93C|B              |BD+23 514                          |Y*O|03 45 41.8551897178 +24 25 53.456111559|     ~|12.08 |11.36 |11.15 |10.42 |G5             |  49|   0
2466|   1812.87|   100|2007ApJS..172..663S|B              |* 21 Tau                           |PM*|03 45 54.4767610858 +24 33 16.241816694| 5.49 | 5.72 | 5.76 | 5.71 | 5.74 |B8V            | 203|   0
2467|   1812.87|   100|2017A&A...601A..19G|B              |* 21 Tau                           |PM*|03 45 54.4767610858 +24 33 16.241816694| 5.49 | 5.72 | 5.76 | 5.71 | 5.74 |B8V            | 203|   0
2468|   1812.87|   100|2017AJ....154..224R|B              |* 21 Tau                           |PM*|03 45 54.4767610858 +24 33 16.241816694| 5.49 | 5.72 | 5.76 | 5.71 | 5.74 |B8V            | 203|   0
2469|   1812.87|   100|2018A&A...616A..10G|B              |* 21 Tau                           |PM*|03 45 54.4767610858 +24 33 16.241816694| 5.49 | 5.72 | 5.76 | 5.71 | 5.74 |B8V            | 203|   0
2470|   1812.87|   100|2018A&A...618A..93C|B              |* 21 Tau                           |PM*|03 45 54.4767610858 +24 33 16.241816694| 5.49 | 5.72 | 5.76 | 5.71 | 5.74 |B8V            | 203|   0
2471|   1812.87|   100|2019PASP..131d4101G|B              |* 21 Tau                           |PM*|03 45 54.4767610858 +24 33 16.241816694| 5.49 | 5.72 | 5.76 | 5.71 | 5.74 |B8V            | 203|   0
2472|   4688.79|   100|2017A&A...601A..19G|B              |HD 23430                           |*  |03 45 59.1394114705 +25 23 54.930689723|     ~| 8.25 | 8.05 |     ~|     ~|A0             |  46|   0
2473|   4688.79|   100|2018A&A...616A..10G|B              |HD 23430                           |*  |03 45 59.1394114705 +25 23 54.930689723|     ~| 8.25 | 8.05 |     ~|     ~|A0             |  46|   0
2474|   4688.79|   100|2018A&A...618A..93C|B              |HD 23430                           |*  |03 45 59.1394114705 +25 23 54.930689723|     ~| 8.25 | 8.05 |     ~|     ~|A0             |  46|   0
2475|   4688.79|   100|2019PASP..131d4101G|B              |HD 23430                           |*  |03 45 59.1394114705 +25 23 54.930689723|     ~| 8.25 | 8.05 |     ~|     ~|A0             |  46|   0
2476|   3465.81|     0|2010MNRAS.408..475H|B              |HD 23431                           |*  |03 45 59.4347511922 +25 03 05.909376975|     ~|10.08 | 9.68 |     ~|     ~|A2             |   7|   0
2477|   1673.56|   100|2007ApJS..172..663S|B              |* 22 Tau                           |** |03 46 02.9003043108 +24 31 40.431321794|     ~| 6.402| 6.421|     ~| 6.41 |A0Vn           | 154|   0
2478|   1673.56|   100|2017A&A...601A..19G|B              |* 22 Tau                           |** |03 46 02.9003043108 +24 31 40.431321794|     ~| 6.402| 6.421|     ~| 6.41 |A0Vn           | 154|   0
2479|   1673.56|   100|2017AJ....154..224R|B              |* 22 Tau                           |** |03 46 02.9003043108 +24 31 40.431321794|     ~| 6.402| 6.421|     ~| 6.41 |A0Vn           | 154|   0
2480|   1673.56|   100|2018A&A...616A..10G|B              |* 22 Tau                           |** |03 46 02.9003043108 +24 31 40.431321794|     ~| 6.402| 6.421|     ~| 6.41 |A0Vn           | 154|   0
2481|   1673.56|   100|2018A&A...618A..93C|B              |* 22 Tau                           |** |03 46 02.9003043108 +24 31 40.431321794|     ~| 6.402| 6.421|     ~| 6.41 |A0Vn           | 154|   0
2482|   1673.56|   100|2019PASP..131d4101G|B              |* 22 Tau                           |** |03 46 02.9003043108 +24 31 40.431321794|     ~| 6.402| 6.421|     ~| 6.41 |A0Vn           | 154|   0
2483|   2793.22|    92|2017AJ....154..224R|B              |Cl Melotte 22 885                  |** |03 46 07.775880 +24 52 00.72624        |     ~|13.15 |12.17 |11.86 |10.87 |K3             |  49|   0
2484|   2793.22|   100|2007ApJS..172..663S|B              |Cl Melotte 22 885                  |** |03 46 07.775880 +24 52 00.72624        |     ~|13.15 |12.17 |11.86 |10.87 |K3             |  49|   0
2485|   2793.22|   100|2009A&A...498..949M|B              |Cl Melotte 22 885                  |** |03 46 07.775880 +24 52 00.72624        |     ~|13.15 |12.17 |11.86 |10.87 |K3             |  49|   0
2486|   2793.22|   100|2013AJ....146..133M|B              |Cl Melotte 22 885                  |** |03 46 07.775880 +24 52 00.72624        |     ~|13.15 |12.17 |11.86 |10.87 |K3             |  49|   0
2487|   1936.03|   100|2007ApJS..172..663S|B              |2MASS J03461174+2437203            |Y*O|03 46 11.7542774527 +24 37 20.342457444|     ~|12.489|11.620|     ~|     ~|G8V            |  49|   0
2488|   1936.03|   100|2009A&A...498..949M|B              |2MASS J03461174+2437203            |Y*O|03 46 11.7542774527 +24 37 20.342457444|     ~|12.489|11.620|     ~|     ~|G8V            |  49|   0
2489|   1936.03|   100|2013AJ....146..133M|B              |2MASS J03461174+2437203            |Y*O|03 46 11.7542774527 +24 37 20.342457444|     ~|12.489|11.620|     ~|     ~|G8V            |  49|   0
2490|   1936.03|   100|2016A&A...596A.113B|B              |2MASS J03461174+2437203            |Y*O|03 46 11.7542774527 +24 37 20.342457444|     ~|12.489|11.620|     ~|     ~|G8V            |  49|   0
2491|   1936.03|   100|2017AJ....154..224R|B              |2MASS J03461174+2437203            |Y*O|03 46 11.7542774527 +24 37 20.342457444|     ~|12.489|11.620|     ~|     ~|G8V            |  49|   0
2492|   1936.03|   100|2018A&A...616A..10G|B              |2MASS J03461174+2437203            |Y*O|03 46 11.7542774527 +24 37 20.342457444|     ~|12.489|11.620|     ~|     ~|G8V            |  49|   0
2493|   1936.03|   100|2018A&A...618A..93C|B              |2MASS J03461174+2437203            |Y*O|03 46 11.7542774527 +24 37 20.342457444|     ~|12.489|11.620|     ~|     ~|G8V            |  49|   0
2494|   1936.03|   100|2019PASP..131d4101G|B              |2MASS J03461174+2437203            |Y*O|03 46 11.7542774527 +24 37 20.342457444|     ~|12.489|11.620|     ~|     ~|G8V            |  49|   0
2495|   1710.39|   100|2007ApJS..172..663S|B              |V* V1045 Tau                       |BY*|03 46 22.6700042531 +24 34 12.538729112|     ~|11.4  |10.8  |     ~| 9.71 |F8             |  68|   0
2496|   1710.39|   100|2009A&A...498..949M|B              |V* V1045 Tau                       |BY*|03 46 22.6700042531 +24 34 12.538729112|     ~|11.4  |10.8  |     ~| 9.71 |F8             |  68|   0
2497|   1710.39|   100|2016A&A...596A.113B|B              |V* V1045 Tau                       |BY*|03 46 22.6700042531 +24 34 12.538729112|     ~|11.4  |10.8  |     ~| 9.71 |F8             |  68|   0
2498|   1710.39|   100|2017AJ....154..224R|B              |V* V1045 Tau                       |BY*|03 46 22.6700042531 +24 34 12.538729112|     ~|11.4  |10.8  |     ~| 9.71 |F8             |  68|   0
2499|   1710.39|   100|2018A&A...616A..10G|B              |V* V1045 Tau                       |BY*|03 46 22.6700042531 +24 34 12.538729112|     ~|11.4  |10.8  |     ~| 9.71 |F8             |  68|   0
2500|   1710.39|   100|2018A&A...618A..93C|B              |V* V1045 Tau                       |BY*|03 46 22.6700042531 +24 34 12.538729112|     ~|11.4  |10.8  |     ~| 9.71 |F8             |  68|   0
2501|   1710.39|   100|2019PASP..131d4101G|B              |V* V1045 Tau                       |BY*|03 46 22.6700042531 +24 34 12.538729112|     ~|11.4  |10.8  |     ~| 9.71 |F8             |  68|   0
2502|   1007.84|   100|2016A&A...596A.113B|B              |Cl Melotte 22 1005                 |** |03 46 24.135744 +24 21 40.40208        |     ~|13.75 |12.81 |12.43 |     ~|~              |  12|   0
2503|   1221.10|   100|2007ApJS..172..663S|B              |V* V1171 Tau                       |BY*|03 46 28.4125117042 +24 26 02.156288777|     ~|11.85 |11.10 |10.5  |10.26 |G5V            |  66|   1
2504|   1221.10|   100|2009A&A...498..949M|B              |V* V1171 Tau                       |BY*|03 46 28.4125117042 +24 26 02.156288777|     ~|11.85 |11.10 |10.5  |10.26 |G5V            |  66|   1
2505|   1221.10|   100|2016A&A...596A.113B|B              |V* V1171 Tau                       |BY*|03 46 28.4125117042 +24 26 02.156288777|     ~|11.85 |11.10 |10.5  |10.26 |G5V            |  66|   1
2506|   1221.10|   100|2017AJ....154..224R|B              |V* V1171 Tau                       |BY*|03 46 28.4125117042 +24 26 02.156288777|     ~|11.85 |11.10 |10.5  |10.26 |G5V            |  66|   1
2507|   1221.10|   100|2018A&A...618A..93C|B              |V* V1171 Tau                       |BY*|03 46 28.4125117042 +24 26 02.156288777|     ~|11.85 |11.10 |10.5  |10.26 |G5V            |  66|   1
2508|   1221.10|   100|2019PASP..131d4101G|B              |V* V1171 Tau                       |BY*|03 46 28.4125117042 +24 26 02.156288777|     ~|11.85 |11.10 |10.5  |10.26 |G5V            |  66|   1
2509|   2740.45|     0|2010MNRAS.408..475H|B              |HD 23500                           |*  |03 46 32.1805776275 +24 52 14.011887152|     ~|10.31 | 9.87 |     ~|     ~|G              |   9|   0
2510|   1481.49|   100|2007ApJS..172..663S|B              |Cl Melotte 22 1110                 |Er*|03 46 38.8904721864 +24 31 13.123679933|     ~|14.62 |13.39 |13.32 |11.89 |K6.5e          |  46|   0
2511|   1481.49|   100|2013AJ....146..133M|B              |Cl Melotte 22 1110                 |Er*|03 46 38.8904721864 +24 31 13.123679933|     ~|14.62 |13.39 |13.32 |11.89 |K6.5e          |  46|   0
2512|   1481.49|   100|2016A&A...596A.113B|B              |Cl Melotte 22 1110                 |Er*|03 46 38.8904721864 +24 31 13.123679933|     ~|14.62 |13.39 |13.32 |11.89 |K6.5e          |  46|   0
2513|   1481.49|   100|2017AJ....154..224R|B              |Cl Melotte 22 1110                 |Er*|03 46 38.8904721864 +24 31 13.123679933|     ~|14.62 |13.39 |13.32 |11.89 |K6.5e          |  46|   0
2514|   1481.49|   100|2018A&A...616A..10G|B              |Cl Melotte 22 1110                 |Er*|03 46 38.8904721864 +24 31 13.123679933|     ~|14.62 |13.39 |13.32 |11.89 |K6.5e          |  46|   0
2515|   1481.49|   100|2018A&A...618A..93C|B              |Cl Melotte 22 1110                 |Er*|03 46 38.8904721864 +24 31 13.123679933|     ~|14.62 |13.39 |13.32 |11.89 |K6.5e          |  46|   0
2516|   1481.49|   100|2019PASP..131d4101G|B              |Cl Melotte 22 1110                 |Er*|03 46 38.8904721864 +24 31 13.123679933|     ~|14.62 |13.39 |13.32 |11.89 |K6.5e          |  46|   0
