C.D.S.  -  SIMBAD4 rel 1.7  -  2021.02.27CET23:06:09

M  45
-----

Number of objects : 9580

 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |      |      |      |      |      |               |    |    
31  |  20608.32|     0|2010MNRAS.408..475H|B              |TYC 1801-643-1                     |*  |03 21 54.7575442167 +24 23 53.767037353|     ~|10.63 |10.14 |     ~|     ~|~              |   1|   0
32  |  23923.59|     0|2010MNRAS.408..475H|B              |BD+20 549                          |*  |03 22 20.7290112402 +20 41 40.796262524|     ~|11.06 |10.41 |     ~|     ~|G0             |   3|   0
33  |  29051.51|     0|2010MNRAS.408..475H|B              |TYC 1240-201-1                     |PM*|03 15 54.1778054167 +20 27 15.339401773|     ~|10.84 |10.23 |     ~|     ~|~              |   4|   0
34  |  29908.08|     0|2010MNRAS.408..475H|B              |TYC 1240-436-1                     |*  |03 15 38.0301238019 +20 04 55.795150381|     ~|11.33 |10.74 |     ~|     ~|~              |   1|   0
35  |  27442.03|     0|2010MNRAS.408..475H|B              |TYC 1244-282-1                     |PM*|03 16 30.9994954641 +21 10 22.091877979|     ~|11.24 |10.33 |     ~|     ~|~              |   1|   0
36  |  23950.55|     0|2010MNRAS.408..475H|B              |TYC 1245-729-1                     |*  |03 20 07.8609952133 +21 40 13.472534835|     ~|11.54 |10.88 |     ~|     ~|~              |   1|   0
37  |  36739.66|     0|2010MNRAS.408..475H|B              |US 3772                            |*  |03 14 10.7308893616 +17 22 47.607815727|     ~|11.57 |11.09 |     ~|     ~|~              |   2|   0
38  |  31650.10|     0|2010MNRAS.408..475H|B              |2MASS J03181744+1824202            |PM*|03 18 17.4497504406 +18 24 20.361975402|     ~|     ~|11.8  |     ~|     ~|K8V:           |   9|   0
39  |  30491.94|     0|2010MNRAS.408..475H|B              |2MASS J03164389+1923041            |TT*|03 16 43.8814467075 +19 23 04.236430714|     ~|11.48 |10.67 |     ~|     ~|G0V            |   9|   0
40  |  35584.94|     0|2010MNRAS.408..475H|B              |TYC 1236-65-1                      |*  |03 12 50.1152558950 +18 15 12.052663642|     ~|10.36 |10.01 |     ~|     ~|~              |   1|   0
41  |  26883.49|     0|2010MNRAS.408..475H|B              |TYC 1241-864-1                     |*  |03 21 58.9828438089 +19 25 10.627915711|     ~|11.38 |10.79 |     ~|     ~|~              |   1|   0
42  |  38096.06|     0|2010MNRAS.408..475H|B              |TYC 1236-221-1                     |PM*|03 13 24.7776825270 +17 01 25.815833009|     ~|10.96 |10.31 |     ~|     ~|~              |   3|   0
43  |  20180.58|     0|2010MNRAS.408..475H|B              |BD+25 539                          |PM*|03 23 32.3178046346 +25 53 57.851898144|     ~|10.17 | 9.72 |     ~|     ~|F5             |   4|   0
44  |  19055.21|     0|2010MNRAS.408..475H|B              |BD+24 479                          |*  |03 24 07.5855927664 +25 06 51.552945301|     ~|10.64 |10.40 |     ~|     ~|A5             |   6|   0
45  |  20117.81|     0|2010MNRAS.408..475H|B              |TYC 1805-572-1                     |*  |03 26 35.8049433653 +27 17 51.129739668|     ~|11.53 |10.95 |     ~|     ~|F5             |   3|   0
46  |  19094.04|     0|2010MNRAS.408..475H|B              |TYC 1805-890-1                     |PM*|03 28 11.0794218525 +27 18 26.030756278|     ~|11.58 |10.85 |     ~|     ~|G0             |   8|   0
47  |  19094.04|    96|2019PASP..131d4101G|B              |TYC 1805-890-1                     |PM*|03 28 11.0794218525 +27 18 26.030756278|     ~|11.58 |10.85 |     ~|     ~|G0             |   8|   0
